,pickup_community_area,dropoff_community_area,No_Of_Trips,Plat,Plong,Dlat,Dlong,Pickup_Com,Dropoff_Com
0,33,28,2462,41.85623040481559,-87.61971340401932,41.87990712112018,-87.65071606033288,Near South Side ,Near West Side 
1,28,24,2388,41.879772530123134,-87.65004509440064,41.90069683148242,-87.67247868865513,Near West Side ,West Town 
2,6,7,1986,41.94425505739939,-87.65480367717183,41.92171135665718,-87.64547978793281,Lake View ,Lincoln Park 
3,28,7,1838,41.879772530123134,-87.65004509440064,41.92171135665718,-87.64547978793281,Near West Side ,Lincoln Park 
4,7,6,1644,41.921585989357055,-87.64563041888879,41.94394290085625,-87.6543955870541,Lincoln Park ,Lake View 
