,pickup_community_area,dropoff_community_area,No_Of_Trips,Plat,Plong,Dlat,Dlong,Pickup_Com,Dropoff_Com
0,28,33,2149,41.879772530123134,-87.65004509440064,41.856659755807144,-87.61949773883488,Near West Side ,Near South Side 
1,76,28,1191,41.97946493351028,-87.90653078880072,41.87990712112018,-87.65071606033288,O Hare ,Near West Side 
2,7,28,922,41.921585989357055,-87.64563041888879,41.87990712112018,-87.65071606033288,Lincoln Park ,Near West Side 
3,6,28,892,41.94425505739939,-87.65480367717183,41.87990712112018,-87.65071606033288,Lake View ,Near West Side 
4,6,76,768,41.94425505739939,-87.65480367717183,41.97935768141236,-87.90517373213443,Lake View ,O Hare 
