,pickup_community_area,dropoff_community_area,No_Of_Trips,Plat,Plong,Dlat,Dlong,Pickup_Com,Dropoff_Com
0,28,33,1831,41.879772530123134,-87.65004509440064,41.856659755807144,-87.61949773883488,Near West Side ,Near South Side 
1,76,28,1603,41.97946493351028,-87.90653078880072,41.87990712112018,-87.65071606033288,O Hare ,Near West Side 
2,33,28,1543,41.85623040481559,-87.61971340401932,41.87990712112018,-87.65071606033288,Near South Side ,Near West Side 
3,33,76,1541,41.85623040481559,-87.61971340401932,41.97935768141236,-87.90517373213443,Near South Side ,O Hare 
4,76,6,1380,41.97946493351028,-87.90653078880072,41.94394290085625,-87.6543955870541,O Hare ,Lake View 
