,pickup_community_area,dropoff_community_area,No_Of_Trips,Plat,Plong,Dlat,Dlong,Pickup_Com,Dropoff_Com
0,7,6,3116,41.921585989357055,-87.64563041888879,41.94394290085625,-87.6543955870541,Lincoln Park ,Lake View 
1,6,7,2614,41.94425505739939,-87.65480367717183,41.92171135665718,-87.64547978793281,Lake View ,Lincoln Park 
2,6,3,2382,41.94425505739939,-87.65480367717183,41.9655181628669,-87.65551153642292,Lake View ,Uptown 
3,28,24,1667,41.879772530123134,-87.65004509440064,41.90069683148242,-87.67247868865513,Near West Side ,West Town 
4,24,22,1338,41.901237391843736,-87.67428254177103,41.92258945329705,-87.6980037956655,West Town ,Logan Square 
