,pickup_community_area,dropoff_community_area,No_Of_Trips,Plat,Plong,Dlat,Dlong,Pickup_Com,Dropoff_Com
0,6,7,3125,41.94425505739939,-87.65480367717183,41.92171135665718,-87.64547978793281,Lake View ,Lincoln Park 
1,28,24,3115,41.879772530123134,-87.65004509440064,41.90069683148242,-87.67247868865513,Near West Side ,West Town 
2,76,6,3049,41.97946493351028,-87.90653078880072,41.94394290085625,-87.6543955870541,O Hare ,Lake View 
3,7,6,2539,41.921585989357055,-87.64563041888879,41.94394290085625,-87.6543955870541,Lincoln Park ,Lake View 
4,76,7,2466,41.97946493351028,-87.90653078880072,41.92171135665718,-87.64547978793281,O Hare ,Lincoln Park 
